coll_date,w_name,w_type,common_name,sex,f_length,t_length,weight,maturity,age,hg,year
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,339.0,,0.402,Unknown,,0.033,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,416.0,,0.906,Unknown,,0.065,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,308.0,,0.322,Unknown,,0.048,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,359.0,,0.456,Unknown,,0.016,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,372.0,,0.608,Unknown,,0.058,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,340.0,,0.466,Unknown,,0.043,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,373.0,,0.586,Unknown,,0.056,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,376.0,,0.71,Unknown,,0.056,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,342.0,,0.38,Unknown,,0.046,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,351.0,,0.408,Unknown,,0.043,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,366.0,,0.596,Unknown,,0.058,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,453.0,,1.42,Unknown,,0.114,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,388.0,,0.622,Unknown,,0.035,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,372.0,,0.624,Unknown,,0.063,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,404.0,,0.872,Unknown,,0.059,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,405.0,,0.694,Unknown,,0.046,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,411.0,,0.716,Unknown,,0.083,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,405.0,,0.764,Unknown,,0.063,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,422.0,,0.854,Unknown,,0.051,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,381.0,,0.596,Unknown,,0.057,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,389.0,,0.71,Unknown,,0.048,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,434.0,,1.25,Unknown,,0.057,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,325.0,,0.342,Unknown,,0.034,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,370.0,,0.552,Unknown,,0.044,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,415.0,,0.964,Unknown,,0.054,2014
